team_no,team_name,team_code,player_no,name,shirtNumber,position_raw,position_group,pair_token
1,ANADOLU EFES,EFS,73,B. Dessert,13,,,1:73
1,ANADOLU EFES,EFS,71,B. Yildizli,19,,,1:71
1,ANADOLU EFES,EFS,75,C. Swider,21,,,1:75
1,ANADOLU EFES,EFS,89,E. Osmani,24,,,1:89
1,ANADOLU EFES,EFS,80,E. Yilmaz,33,,,1:80
1,ANADOLU EFES,EFS,85,G. Papagiannis,9,,,1:85
1,ANADOLU EFES,EFS,88,I. Cordinier,10,,,1:88
1,ANADOLU EFES,EFS,92,J. Loyd,3,,,1:92
1,ANADOLU EFES,EFS,87,N. Weiler-Babb,8,,,1:87
1,ANADOLU EFES,EFS,45,R. Fenemen,6,,,1:45
1,ANADOLU EFES,EFS,86,R. Smits,11,,,1:86
1,ANADOLU EFES,EFS,81,S. Hazer,2,,,1:81
2,ESENLER EROKSPOR,ERK,20,E. Arna,18,,,2:20
2,ESENLER EROKSPOR,ERK,21,E. Gazi,7,,,2:21
2,ESENLER EROKSPOR,ERK,26,J. Crawford,1,,,2:26
2,ESENLER EROKSPOR,ERK,23,J. Gant,23,,,2:23
2,ESENLER EROKSPOR,ERK,28,J. Love,22,,,2:28
2,ESENLER EROKSPOR,ERK,27,J. Simmons,11,,,2:27
2,ESENLER EROKSPOR,ERK,25,L. Galloway,9,,,2:25
2,ESENLER EROKSPOR,ERK,17,M. Akyel,41,,,2:17
2,ESENLER EROKSPOR,ERK,18,O. Yilmaz,6,,,2:18
2,ESENLER EROKSPOR,ERK,24,P. Cornelie,12,,,2:24
2,ESENLER EROKSPOR,ERK,15,T. Akyazili,14,,,2:15
2,ESENLER EROKSPOR,ERK,22,T. Thurman,15,,,2:22
